artist,title,label,catno,format,price,media_condition,sleeve_condition,weight,place
Jo Bisso,Love Somebody,Music For Pleasure,2 M 026-63857,"LP, RE",6.0,Very Good (VG),Very Good (VG),230,
João Gilberto,João Gilberto Prado Pereira De Oliveira / Especial,"WEA, WEA","WEA 91 032, WEA K 91 032","LP, Album",8.0,Very Good (VG),Good Plus (G+),230,
John Laus,Xalar Fil-Karnival,Center Records,RCLP 102,LP,20.0,Very Good Plus (VG+),Very Good (VG),230,
The Kars,Mazina (African Songs Of Yesterday And Today),Apollo Sound,ASF 6001,LP,8.0,Very Good Plus (VG+),Very Good (VG),230,
Kim Fowley,Love Is Alive And Well,Klimt Records,MJJ335,"LP, Album, RE",12.0,Very Good Plus (VG+),Near Mint (NM or M-),230,
Ko Shin Moon,Ko Shin Moon,Akuphone,AKULP1005,"LP, Album",18.0,Mint (M),Mint (M),230,
Les Difficiles de Petion-Ville,Coq Qualite,Superstar Records (2),SUP-106,"LP, Album",45.0,Very Good Plus (VG+),Very Good (VG),230,
Lokassa Ya Mbongo,Adiza,"Syllart Records, Syllart Records, Syllart Production","CEL8723, 8723, SYL 8323","LP, Album",19.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Malopoets,Malopoets,EMI America,2402931,"LP, Album",5.0,Very Good Plus (VG+),Very Good (VG),230,
Mandingo (6),The Primeval Rhythm Of Life,"Columbia, Columbia","2C 062 - 05.182, 2 C 062 - 05182","LP, Album",12.0,Very Good (VG),Very Good Plus (VG+),230,
Manfred Mann,Mann Made,"Regal, Regal, Starline, Starline","SRS 5007, 1E 048 ○ 04197","LP, Album, RE",15.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Manfred Mann,The Best Of Manfred Mann,EMI,2C 066-06583 M,"LP, Comp, RE",19.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Manu Dibango,Surtension,Garima Records,ZL 37829,LP,5.0,Very Good (VG),Very Good Plus (VG+),230,
Maurice Bitter,Tombouctou,Musidisc,30 CV 1272,"LP, RE",8.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Miles Davis,We Want Miles,CBS,CBS 88579,"2xLP, Album, RE, Gat",16.0,Near Mint (NM or M-),Near Mint (NM or M-),460,
Milva & Astor Piazzolla,Live At The Bouffes Du Nord,"Polydor, Metronome",825 125-1,"LP, Album",10.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Mory Kanté,Akwaba Beach,Barclay,833 119-1,"LP, Album",7.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Mushapata,Saba-Saba Fighting,Akuphone,AKUMS1002,"12"", EP, Comp",12.0,Mint (M),Mint (M),230,
Orquesta Aragon,Danzones De Ayer Y De Hoy,Discuba,LPD-515,"LP, Album, Mono, RP, Hig",10.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Os Originais Do Samba,O Samba É A Corda... Os Originais A Caçamba,RCA Victor,103.0049,"LP, Album",10.0,Very Good (VG),Very Good Plus (VG+),230,
Philippe DeBarge With The Pretty Things,Rock St. Trop,Madfish,SMALP 1078,"LP, Album, 180",20.0,Mint (M),Mint (M),230,
Pierre Belkos,Elégance Soukouss,Jimmy's International Production,JIP 032,"LP, Album",10.0,Very Good (VG),Very Good (VG),230,
Prince,"Sign ""O"" The Times","Warner Records, NPG Records, The Prince Estate, Paisley Park","603497846528, R1 25577","2xLP, Album, Ltd, RE, RM, Pea",35.0,Mint (M),Not Graded,460,
Rodion G. A.,Misiunea Spațială Delta,"Strut, Future Nuggets, Ambassador's Reception",STRUT117LP,"12"", Ltd",9.0,Very Good Plus (VG+),Near Mint (NM or M-),230,
Sam Mangwana,Maria Tebbo,Systeme Art Musique,SAM 002,"LP, Album",10.0,Very Good Plus (VG+),Very Good (VG),230,
Sébastien Tellier,L'Aventura,Record Makers,REC 115,"2xLP, Album, Gat",22.0,Near Mint (NM or M-),Near Mint (NM or M-),460,
Sérgio Mendes,Alegria,WEA,WEA 99 096,"LP, Album",10.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Sivuca,Som Brasil,Young,304.7026,"LP, Album",8.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Snowboy & The Latin Section,Something's Coming,Acid Jazz,JAZID LP 92,"LP, Album",10.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Sothy,Lam Seung!!!.. Chansons Laotiennes,Akuphone,AKUMS1001,"12"", EP, RE",12.0,Mint (M),Mint (M),230,
Various,Jerk Boom Bam! Vol 7,Jerk Boom! Bam! Records,RSAB-117,"LP, Comp",16.0,Mint (M),Mint (M),230,
Various,Jerk Boom Bam! Vol 8,Jerk Boom! Bam! Records,RSAB-118,"LP, Comp",16.0,Mint (M),Mint (M),230,
Various,Jerk Boom Bam! Vol 9,Jerk Boom! Bam! Records,RSAB-119,"LP, Comp",16.0,Mint (M),Mint (M),230,
Various,Midem Sampler,"Trip Jazz, UpFront Records (3), Springboard",none,"2xLP, Smplr",15.0,Near Mint (NM or M-),Near Mint (NM or M-),460,
Various,Music of Southern Laos,Akuphone,AKULP1009,"LP, Comp",18.0,Mint (M),Mint (M),230,
Various,Rockinitis Vol. 3,Stag-O-Lee,stag-o-159,"LP, Comp",16.0,Mint (M),Mint (M),230,
Various,Rockinitis Volume One - Electric Blues From The Rock 'N' Roll Era,Stag-O-Lee,stag-o-131,"LP, Comp",16.0,Mint (M),Mint (M),230,
Various,Shake-O-Rama Vol. 2,Jukebox Music Factory,VID 11,"LP, Comp + CD, Comp",20.0,Mint (M),Mint (M),315,
Various,Sri Lanka (The Golden Era Of Sinhalese And Tamil Folk-Pop Music),Akuphone,AKULP1003,"2xLP, Comp",24.0,Mint (M),Mint (M),460,
Various,The Gamelan Of The Walking Warriors : Gamelan Beleganjur and the Music of the Ngaben Funerary Ritual in Bali,Akuphone,AKULP1007,"LP, Album",25.0,Mint (M),Mint (M),230,
Various,The Jerk Boom! Bam! Vol 3 - Girls Round 1,Jerk Boom! Bam! Records,RSAB - 113,"LP, Comp",16.0,Mint (M),Mint (M),230,
Various,The Jerk Boom! Bam! Vol. 5 Greasy Rhythm N' Blues And Nasty Soul Party,Jerk Boom! Bam! Records,RSAB-115,"LP, Comp",16.0,Mint (M),Mint (M),230,
Various,The Rough Guide To Voodoo,World Music Network,RGNET1275LP,"LP, Comp, Ltd",10.0,Very Good (VG),Very Good (VG),230,
Yma Sumac,Legend Of The Jivaro,Capitol Records,1552981,"LP, Album, Mono, RE",8.0,Very Good (VG),Very Good Plus (VG+),230,
محمد حمام = محمد حمام,والله لبكره بيطلع النهار = Demain Le Jour Se Lèvera...,Le Chant Du Monde,LDX 74578,"LP, Album",8.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
? & The Mysterians,96 Tears,"Cameo Parkway (2), Cameo Parkway (2), Cameo Parkway (2), Cameo Parkway (2)","SC-2004, SC 2004, CS-2004, C-2004","LP, Album, RE, Unofficial",18.0,Mint (M),Mint (M),230,
AC/DC,Iron Man 2,"Columbia, Columbia, Marvel, Albert Productions, Sony Music","88697661581, C 766158","2xLP, Comp, 180",21.0,Near Mint (NM or M-),Near Mint (NM or M-),460,
Ashra,Belle Alliance,"Virgin, Virgin","202 284, 202 284-320","LP, Album",18.0,Very Good Plus (VG+),Near Mint (NM or M-),230,
Bananagun,The True Story Of Bananagun,Full Time Hobby,FTH378LP,"LP, Album",22.0,Mint (M),Mint (M),230,
Brian Auger,Faces And Places Vol. 10,BYG Records,BYG 529 910,"LP, Comp",15.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Chuck Berry,Chuck Berry's Golden Decade (The Original Two Albums),Chess,CH 50 024,"2xLP, Comp, Gat",12.0,Very Good Plus (VG+),Very Good Plus (VG+),460,
Comeback Kid,Broadcasting...,Victory Records,VR323,"LP, Album, Kha",19.0,Near Mint (NM or M-),Near Mint (NM or M-),230,
Dark Tranquillity,We Are The Void,Century Media,9979551,"LP, Album",60.0,Very Good Plus (VG+),Near Mint (NM or M-),230,
Depeche Mode,Violator,"Legacy, Mute, Sony Music","STUMM64, 88985336751","LP, Album, RE, RM, Gat",28.0,Mint (M),Mint (M),230,
Deutsch Amerikanische Freundschaft,Für Immer,Grönland Records,LPGRON174,"LP, Album, RE",17.0,Mint (M),Mint (M),230,
The Flamin' Groovies,Now,Philips,9103333,"LP, Album",15.0,Very Good Plus (VG+),Very Good (VG),230,
Frankie Goes To Hollywood,Welcome To The Pleasuredome,"Island Records, ZTT",302 419-977,"2xLP, Album",20.0,Very Good Plus (VG+),Near Mint (NM or M-),460,
Julie Driscoll,Faces And Places Vol. 9,"BYG Records, BYG Records","529.909, BYG 525 909","LP, Comp",15.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Klaus Nomi,Klaus Nomi ,"RCA, RCA","PL 70027, PL 70 027","LP, Album",15.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
The KVB,Only Now Forever,Invada,INV204LP,"2xLP, Album, Cle",24.0,Mint (M),Mint (M),460,
Los Ninos,Cantos de la Revolucion Mejicana	,DOM (2),40002,LP,10.0,Near Mint (NM or M-),Very Good (VG),230,
Nina Hagen,Nunsexmonkrock,CBS,CBS 85774,"LP, Album",10.0,Very Good Plus (VG+),Very Good (VG),230,
The Pretty Things,Greatest Hits 1964-1967,Philips,6641411,"2xLP, Comp, Mono",25.0,Near Mint (NM or M-),Very Good Plus (VG+),460,
Rage Against The Machine,No Shelter,Epic,ES7 41210,"7"", Single, Promo, Red",17.0,Very Good (VG),Very Good Plus (VG+),60,
Slayer,Hell Awaits,Back On Black,BOBV152LP,"LP, Album, RE, RM, Red",28.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Slipknot,Before I Forget,Roadrunner Records,RR 3968.8,"7"", Single, Ltd, Pic, 2/2",22.0,Near Mint (NM or M-),Very Good Plus (VG+),60,
Slipknot,Before I Forget,Roadrunner Records,RR 3968.7,"7"", Single, Ltd, Pic, 1/2",22.0,Near Mint (NM or M-),Very Good Plus (VG+),60,
The Smiths,Meat Is Murder,Rhino Records (2),2564665878,"LP, Album, RE, RM",25.0,Mint (M),Mint (M),230,
Snowboy & The Latin Section,The Best Of Snowboy & The Latin Section,Acid Jazz,JAZID LP 102,"LP, Comp",15.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Stray Cats,Gonna Ball,Arista,204019,"LP, Album",8.0,Very Good Plus (VG+),Very Good (VG),230,
The Warriors (6),War Is Hell (Redux),Eulogy Recordings,EUL065-2,"LP, Album, Blu",55.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Kool & The Gang,Open Sesame,Carosello,CLN 25069,"LP, Album",18.0,Very Good Plus (VG+),Very Good (VG),230,
Spirit (8),The Best Of Spirit,Epic,EPC 65585,"LP, Comp",10.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
The Son Seals Blues Band,The Son Seals Blues Band,"Sonet, Alligator Records",SNTF 679,"LP, Album",22.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Roland Kirk,Three For The Festival,Mercury,126.118 MCE,"7""",15.0,Very Good Plus (VG+),Very Good (VG),60,
Grand Funk Railroad,Shinin' On,Capitol Records,SWAE-11278,"LP, Album, Win",20.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Queen,A Day At The Races,EMI,3C 064-98485,"LP, Album, Gat",15.0,Very Good (VG),Very Good (VG),230,
Queen,Sheer Heart Attack,"EMI, EMI Electrola",1C 072-96025,"LP, Album, RE",15.0,Very Good (VG),Very Good Plus (VG+),230,
Supertramp,Paris,A&M Records,AMLM 66702,"2xLP, Album",20.0,Very Good Plus (VG+),Very Good Plus (VG+),460,
Supertramp,Breakfast In America,A&M Records,SP-3708,"LP, Album",18.0,Very Good Plus (VG+),Very Good Plus (VG+),230,
Midnight Oil,Diesel And Dust,CBS,CBS 460005 1,"LP, Album, Gat",17.0,Very Good Plus (VG+),Near Mint (NM or M-),230,
