artist,title,label,catno,format,price,media_condition,sleeve_condition,weight,place
Pat Metheny w/ Dave Holland & Roy Haynes,Question And Answer,Nonesuch,7559 799100,"CD, Album, Met",15.0,Mint (M),Near Mint (NM or M-),85,
"Pat Metheny, Anna Maria Jopek",Upojenie,"Nonesuch, Metheny Group Productions",7559-79909-8,"CD, Album, RE",10.0,Mint (M),Near Mint (NM or M-),85,
"Paul McCandless, Bebo Ferra, Paolino Dalla Porta Ospite Fulvio Maras",Isole = Islands,EGEA,SCA 074,"CD, Album",10.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
"Phil Woods, Cecil Payne, Duke Jordan, Frank Socolow, Wendell Marshall, Art Taylor",Bird's Night,"Vogue, Savoy Jazz",660513,"2xCD, Album",15.0,Mint (M),Very Good Plus (VG+),170,
Pierre Michelot,Bass & Bosses,EmArcy,842 531-2,"CD, Album",10.0,Near Mint (NM or M-),Very Good Plus (VG+),85,
Randy Weston,The Spirits Of Our Ancestors,"Verve Records, PolyGram Jazz",511 857-2,"2xCD, Album",22.0,Near Mint (NM or M-),Very Good Plus (VG+),170,
Return To Forever,Musicmagic,Columbia,CK 34682,"CD, Album, RE",10.0,Mint (M),Very Good Plus (VG+),85,
Rita Marcotulli,The Woman Next Door,Label Bleu,LBLC 6601,"CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,
Rory Gallagher,Fresh Evidence,Accord Musidisc,105782,"CD, Album",7.0,Mint (M),Very Good Plus (VG+),85,
Rory Gallagher,Live At Montreux,"Eagle Records, Eagle Records","EAGCD336, GAS 0000336 EAG","CD, Album",6.0,Mint (M),Near Mint (NM or M-),85,
Rory Gallagher,Top Priority,"Capo (2), RCA","CAPO 110, 74321 601102","CD, Album, RE, RM, RP",5.0,Mint (M),Near Mint (NM or M-),85,
"The Royal Philharmonic Orchestra, Sir Charles Mackerras","The Royal Philharmonic Orchestra Shostakovich Festive Overture, Symphony No. 5",Membran Music Ltd.,222874-203,"SACD, Hybrid, Multichannel, Album",8.0,Mint (M),Near Mint (NM or M-),85,
Serge Gainsbourg,Du Jazz Dans Le Ravin,"Mercury, Philips",522629-2,"CD, Comp, RM, Sli",8.0,Mint (M),Near Mint (NM or M-),85,
Stan Getz - Kenny Barron,People Time,"EmArcy, Gitanes Jazz, Polygram Jazz",510 134-2,"2xCD, Album",8.0,Near Mint (NM or M-),Very Good Plus (VG+),170,
Stevie Ray Vaughan & Double Trouble,Live At Carnegie Hall,Epic,758.355/2-488206,"CD, Album",12.0,Mint (M),Near Mint (NM or M-),85,
Tom Principato,Blue Licks & Voodoo Things,VooDoo Records (14),VDCD 111,"CD, Album",8.0,Mint (M),Mint (M),85,
Tom Principato,Really Blue,VooDoo Records (14),VDCD 115,"CD, Album",5.0,Mint (M),Very Good Plus (VG+),85,
Various,Blues Still Alive 1924 - 1994,"Epic, Epic","SAMP 2209, 14-002209-10","CD, Comp, Promo, Smplr",8.0,Mint (M),Near Mint (NM or M-),85,
Various,Martin Scorsese Presents The Blues - The Soul Of A Man,"Columbia, Legacy",512570 2,"CD, Comp",10.0,Mint (M),Near Mint (NM or M-),85,
"Wolfgang Amadeus Mozart, Julia Fischer (4), Netherlands Chamber Orchestra, Yakov Kreizberg",Violin Concertos Nos 3&4 - Adagio K.261 - Rondo K.269,PentaTone classics,PTC 5186 064,"SACD, Hybrid, Multichannel, Album",16.0,Mint (M),Near Mint (NM or M-),85,
Ahmad Jamal,At The Pershing / But Not For Me,Chess,MCD 09108,"CD, Album, RE, RM",7.0,Mint (M),Very Good Plus (VG+),85,
"Anton Bruckner - Wiener Philharmoniker, Nikolaus Harnoncourt",Symphony No. 5 With Excerpts From The Rehearsals,"BMG Classics, RCA Red Seal",82876 60749-2,"SACD, Hybrid, Multichannel, Album, DSD + CD",14.0,Mint (M),Near Mint (NM or M-),170,
Bill Carrothers,Swing Sing Songs,Birdology,8573-86401-2,"CD, Album",10.0,Mint (M),Near Mint (NM or M-),85,
Buddy Guy,Buddy's Baddest: The Best Of Buddy Guy,Silvertone Records,82876 53582 2,"CD, Comp",8.0,Mint (M),Near Mint (NM or M-),85,
Buddy Guy,"Damn Right, I've Got The Blues",Silvertone Records,82876-68345-2,"CD, Album, RM, Exp",5.0,Mint (M),Near Mint (NM or M-),85,
Buddy Guy,Hold That Plane!,Vanguard,VMD 79323-2,"CD, Album, RE",28.0,Mint (M),Near Mint (NM or M-),85,
Buddy Guy,Slippin' In,Silvertone Records,01241 41542 2,"CD, Album",5.0,Mint (M),Very Good (VG),85,
Cosmo (31),Cosmo,"Fiction Records, Cosmo (4)","602537454969, Cosmo1B","10"", EP, Pic + CD, EP",8.0,Near Mint (NM or M-),Near Mint (NM or M-),220,
Count Basie,Atomic Basie,Not Now Music,NOT2CD343,"2xCD, Comp, RM",5.0,Mint (M),Very Good Plus (VG+),170,
Count Basie Orchestra,Americans In Sweden 1954 Volume Two,Tax,TAX CD 3702-2,"CD, Album, RM",7.0,Mint (M),Near Mint (NM or M-),85,
Deep Purple,In Rock,EMI,CDP 7 46239 2,"CD, Album, RE",10.0,Mint (M),Very Good (VG),85,
Deep Purple,Machine Head,"EMI, EMI","7 46242 2, CDP 7 46242 2","CD, Album, RE",10.0,Mint (M),Very Good Plus (VG+),85,
Deep Purple,Made In Japan,"EMI, EMI","7243 8 57864 2 6, 857 8642","2xCD, Album, RE, RM",11.0,Mint (M),Very Good Plus (VG+),170,
"Dmitri Shostakovich, The London Symphony Orchestra, Mstislav Rostropovich",Symphony No. 8,LSO Live,LSO0527,"SACD, Hybrid, Multichannel, Album",6.0,Near Mint (NM or M-),Near Mint (NM or M-),85,
Dr. Timothy Leary & Ash Ra Tempel,Seven Up,"PDU, Die Kosmischen Kuriere",KK 58001,"LP, Album, RE",50.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Eddie Cochran,Remember Me...,Liberty,LBY 1133 F,LP,12.0,Very Good Plus (VG+),Very Good (VG),230,
Eddie Cochran,The Eddie Cochran Memorial Album,Liberty,LBY 1127,"LP, Mono, RE",12.0,Very Good Plus (VG+),Very Good (VG),230,
Enrico Pieranunzi Trio,Seaward,Soul Note,121272-2,"CD, Album",10.0,Mint (M),Very Good Plus (VG+),85,
Enrico Pieranunzi Trio,The Chant Of Time,Alfa Jazz,ALCB-3915,"CD, Album",45.0,Mint (M),Mint (M),85,
Enrico Rava,New York Days,"ECM Records, ECM Records","ECM 2064, 177 2715","CD, Album",8.0,Mint (M),Near Mint (NM or M-),85,
Enrico Rava,Noir,Label Bleu,LBLC 6595,"CD, Album",14.0,Mint (M),Near Mint (NM or M-),85,
Enrico Rava,Tati,"ECM Records, ECM Records","ECM 1921, 987 0174","CD, Album",8.0,Mint (M),Near Mint (NM or M-),85,
Eric Clapton,Unplugged,Reprise Records,9 45024-2,"CD, Album, Club, RE",5.0,Mint (M),Very Good Plus (VG+),85,
"Eric Clapton Featured With The Yardbirds, Jimmy Page And John Mayall & The Bluesbreakers",The Early Clapton Collection,Castle Communications,CCSCD 162,"CD, Comp",8.0,Mint (M),Very Good Plus (VG+),85,
Gábor Gadó Quartet,Orthodoxia,Budapest Music Center Records,BMC CD 083,"CD, Album",7.0,Mint (M),Mint (M),85,
Gato Barbieri,Fenix,"BMG France, Flying Dutchman",74321851482,"CD, Album, RE, RM",9.0,Mint (M),Very Good Plus (VG+),85,
Gene Vincent & His Blue Caps,Bluejean Bop!,Capitol Records,T 764,"LP, Album, RE",35.0,Very Good (VG),Good Plus (G+),230,
"Gioacchino Rossini - Cecilia Bartoli, Alessandro Corbelli, Michele Pertusi, Ramón Vargas, Orchestra Del Teatro Alla Scala e Coro Del Teatro Alla Scala, Riccardo Chailly",Il Turco in Italia,Decca,458 924-2,"2xCD, Album",10.0,Mint (M),Very Good Plus (VG+),170,
"Gioacchino Rossini, Cecilia Bartoli ∙ Enzo Dara ∙ William Matteuzzi ∙ Alessandro Corbelli ∙ Michele Pertusi ∙ Riccardo Chailly",La Cenerentola,Decca,436 902-2,"2xCD, Album",15.0,Mint (M),Very Good Plus (VG+),170,
Giovanni Mirabassi,Architectures,Sketch (2),SKE 333010,"CD, Album",18.0,Mint (M),Very Good Plus (VG+),85,
Giovanni Mirabassi,Prima O Poi,"Discograph, Minium","6126022, none","CD, Album",9.0,Mint (M),Mint (M),85,
"Giuseppe Verdi / Ileana Cotrubas, Placido Domingo, Sherrill Milnes, Bayerisches Staatsorchester, Carlos Kleiber",La Traviata,Deutsche Grammophon,415 132-2,"2xCD, Album + Box, RE, Sli",13.0,Mint (M),Very Good Plus (VG+),400,
"Giuseppe Verdi, Luba Orgonasova, Anne Sofie Von Otter, Luca Canonici, Alastair Miles, The Monteverdi Choir, Orchestre Révolutionnaire Et Romantique, John Eliot Gardiner",Requiem / Quattro Pezzi Sacri,Philips Digital Classics,442 142-2,"2xCD, RE",13.0,Mint (M),Very Good Plus (VG+),170,
Grotto (2),At Last... ,Odion Livingstone,ODILIV002LP,"LP, Album, RE",20.0,Mint (M),Mint (M),230,
Henri Texier,Colonel Skopje,Label Bleu,LBLC 6523,"CD, Album",8.0,Mint (M),Near Mint (NM or M-),85,
Henri Texier,Remparts D'Argile,Label Bleu,LBLC 6638,"CD, Album",15.0,Mint (M),Near Mint (NM or M-),85,
Iggy Pop,Nights Of The Iguana,Remedy,3053862,"4xCD, Album, RE + Box, Comp, Ltd, Num",25.0,Near Mint (NM or M-),Very Good Plus (VG+),570,
Italian Instabile Orchestra,Skies Of Europe,"ECM Records, ECM Records","ECM 1543, 527 181-2","CD, Album",8.0,Mint (M),Very Good Plus (VG+),85,
"Joey Baron, Arthur Blythe, Ron Carter, Bill Frisell",We'll Soon Find Out,Intuition Records,INT 3515 2,"CD, Album",9.0,Mint (M),Very Good Plus (VG+),85,
John McLaughlin,Industrial Zen,Verve Records,983 786 4,"CD, Album",12.0,Mint (M),Very Good Plus (VG+),85,
John McLaughlin,The Heart Of Things (Live In Paris),"Universal, Verve Records",543 536-2,"CD, Album, Dig",5.0,Mint (M),Very Good Plus (VG+),85,
La Düsseldorf,Viva,Strand,6.23626 BL,"LP, Album, RE, DMM",15.0,Near Mint (NM or M-),Very Good Plus (VG+),230,
Little Richard,Rock Story,Fontana,683.405 TL,LP,20.0,Very Good (VG),Good Plus (G+),230,
Mahavishnu Orchestra,The Lost Trident Sessions,"Columbia, Legacy",SMM 504684 2,"CD, Album, Dig",12.0,Mint (M),Near Mint (NM or M-),85,
Mahavishnu Orchestra,Visions Of The Emerald Beyond,"Columbia, Columbia","467904 2, COL 467904 2","CD, Album, RE, RM",10.0,Mint (M),Near Mint (NM or M-),85,
"Mahavishnu Orchestra With The London Symphony Orchestra, Michael Tilson Thomas",Apocalypse,CBS,467092 2,"CD, Album, RE, RM",8.0,Mint (M),Near Mint (NM or M-),85,
Michel Legrand,Le Jazz Grand,FiveFour,Fivefour 1,"CD, Album, RE, RM",9.0,Mint (M),Near Mint (NM or M-),85,
